Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.013230748474597931,0.10200782120227814,0.0,0.0,0.0,0.0,0.0,0.013233236968517303,0.10205469280481339,0.013437790796160698,9.039313226821832e-06,0.006092139985412359,0.03194039314985275,0.00013373694673646241,0.008782939985394478,2.268679418193642e-05,0.0029935555066913366,-0.00011391204316169024,0.031153008341789246,0.027026141062378883,-0.0001395769795635715,0.00014019172522239387,0.011346381157636642,0.010918663814663887,0.04029184579849243,0.0402970165014267,0.00019139025243930519,0.003132181242108345,-6.435926479753107e-05,-0.00021184192155487835,-4.939965583616868e-05,4.6173736336641014e-05,0.0963759571313858,0.09422187507152557,0.008493061177432537,0.00852009654045105,-5.858278018422425e-05,-4.737892959383316e-05,0.1155645027756691,0.06339449435472488,0.06346653401851654,2.4372711777687073e-06,0.009997732937335968,0.010934216901659966,-4.480810457607731e-05,-0.00021722272504121065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26610735058784485,0.06645821034908295,1.307398796081543,0.10697312653064728,1.5011730194091797,0.29232996702194214,1.4317657947540283
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.02620929479598999,0.21208710968494415,0.0,0.0,0.0,0.0,0.0,0.026222050189971924,0.21218641102313995,0.026580417528748512,2.5327593903057277e-05,0.012040844187140465,0.06289830058813095,0.00023605239402968436,0.017019305378198624,2.026715810643509e-05,0.006040539126843214,-0.0002509821788407862,0.06219153478741646,0.053953833878040314,-0.0002477624511811882,0.0002636548306327313,0.022989338263869286,0.022178802639245987,0.08191998302936554,0.08198203891515732,0.000398652016883716,0.006242942996323109,-0.00013559834042098373,-0.00041201774729415774,-0.00012635822349693626,6.333686178550124e-05,0.19255967438220978,0.18804322183132172,0.016947153955698013,0.017147792503237724,-0.00011190985969733447,-8.223181794164702e-05,0.2266162633895874,0.12456295639276505,0.12470649182796478,8.252337465819437e-06,0.01937035843729973,0.02124364674091339,-0.00013587644207291305,-0.0004451370914466679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5385870337486267,0.1348339021205902,2.6407277584075928,0.21214818954467773,3.0402960777282715,0.5771708488464355,2.781278610229492
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.0388222336769104,0.3263711631298065,0.0,0.0,0.0,0.0,0.0,0.03885342553257942,0.32653069496154785,0.03863583132624626,6.553145794896409e-05,0.01792949251830578,0.0919119119644165,0.0003185037348885089,0.024669582024216652,6.5419526436016895e-06,0.009378593415021896,-0.00038779841270297766,0.09391136467456818,0.08128336817026138,-0.00037654960760846734,0.0004180970136076212,0.03483984246850014,0.033629752695560455,0.12409541010856628,0.12436452507972717,0.0006088439258746803,0.009413877502083778,-0.00019037950551137328,-0.0006026103510521352,-0.00023139987024478614,7.936216570669785e-05,0.2883884608745575,0.28127601742744446,0.024857239797711372,0.025090770795941353,-0.0001715326216071844,-0.0001251426583621651,0.33516764640808105,0.1849539577960968,0.18516863882541656,9.169511940854136e-06,0.02837539091706276,0.031157180666923523,-0.000245298957452178,-0.0007207168382592499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8142318725585938,0.1967785507440567,3.9699463844299316,0.32040002942085266,4.6659626960754395,0.8453547358512878,4.0972514152526855
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.05097872018814087,0.4404117166996002,0.0,0.0,0.0,0.0,0.0,0.05103771761059761,0.4406410753726959,0.04915662482380867,0.00013028096873313189,0.023904792964458466,0.1175994873046875,0.00032438553171232343,0.029577914625406265,-1.4447867215494625e-05,0.013194208033382893,-0.0005085802404209971,0.12822428345680237,0.11048660427331924,-0.000593684206251055,0.0006516518769785762,0.04636150225996971,0.04471071437001228,0.16514109075069427,0.16559110581874847,0.0008411427843384445,0.01263978611677885,-0.00019867811352014542,-0.000783915922511369,-0.00036950231879018247,8.316907042171806e-05,0.38323551416397095,0.3727553188800812,0.03270435333251953,0.03261324018239975,-0.0002503247233107686,-0.00017482865951023996,0.44178256392478943,0.24617628753185272,0.24646738171577454,-7.044285212032264e-06,0.03758741170167923,0.04088584706187248,-0.000382338825147599,-0.0010271259816363454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0583412647247314,0.25526103377342224,5.223177909851074,0.43830808997154236,6.450883388519287,1.123265266418457,5.314696788787842
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.06218469515442848,0.5475573539733887,0.0,0.0,0.0,0.0,0.0,0.0622713528573513,0.5478700399398804,0.06032733991742134,0.00020790770940948278,0.029534578323364258,0.14041507244110107,0.00031279801623895764,0.03428856283426285,-2.4797544028842822e-05,0.016611002385616302,-0.0006102221668697894,0.16718222200870514,0.14431682229042053,-0.0007377785514108837,0.0007758010760881007,0.05744677409529686,0.05537313595414162,0.20352225005626678,0.2041388899087906,0.0010489108972251415,0.01581510528922081,-0.0001735437981551513,-0.0009344880236312747,-0.0004919514176435769,9.134259016718715e-05,0.47727352380752563,0.4642001688480377,0.04185568168759346,0.041646599769592285,-0.00033775149495340884,-0.0002838726213667542,0.5477375984191895,0.30807334184646606,0.3084245026111603,-1.2875758329755627e-05,0.04769761860370636,0.05192338302731514,-0.0003606889513321221,-0.0013391370885074139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3382883071899414,0.3045181632041931,6.3218512535095215,0.5640568733215332,8.52436637878418,1.458343267440796,6.348050117492676
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.0595676563680172,0.5254539251327515,0.0,0.0,0.0,0.0,0.0,0.05968905985355377,0.5257508158683777,0.05923614650964737,0.0002101766294799745,0.029701650142669678,0.13079297542572021,0.0004290516662877053,0.027988236397504807,4.365816494100727e-06,0.01619323529303074,-0.0006055807461962104,0.18210247159004211,0.15862153470516205,-0.0006497239810414612,0.0006530561950057745,0.05638301372528076,0.05442115664482117,0.1968691498041153,0.19847317039966583,0.0010301113361492753,0.015608001500368118,-1.9625536879175343e-05,-0.000848546449560672,-0.0005123633309267461,0.00010888632095884532,0.4815436899662018,0.4697951376438141,0.046963416039943695,0.04644075781106949,-0.0004314181278459728,-0.00032468154677189887,0.5421940088272095,0.31013792753219604,0.3104766309261322,7.079504484863719e-06,0.04905539005994797,0.053575579077005386,-0.0003021208103746176,-0.0012338550295680761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3296892642974854,0.33184438943862915,6.113582611083984,0.5826205015182495,8.702762603759766,1.5724568367004395,6.199319362640381
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.055642906576395035,0.48184964060783386,0.0,0.0,0.0,0.0,0.0,0.05580465868115425,0.48218247294425964,0.059645067900419235,0.0001803012128220871,0.03127722814679146,0.12258453667163849,0.00033537016133777797,0.022488350048661232,6.685629614366917e-06,0.01541568897664547,-0.0005868148291483521,0.21076279878616333,0.18724332749843597,-0.00039021848351694643,0.0004595377540681511,0.054271191358566284,0.052453793585300446,0.19155912101268768,0.1938590556383133,0.0008725498337298632,0.015033458359539509,0.00018230784917250276,-0.0006249956786632538,-0.0005327302496880293,0.00014070507313590497,0.5047109127044678,0.49535179138183594,0.061001006513834,0.05978231504559517,-0.000357273209374398,-0.00029464319231919944,0.5349298715591431,0.31308749318122864,0.31338757276535034,-1.172114207292907e-05,0.05229876935482025,0.05705079063773155,-0.00014933504280634224,-0.0011811454314738512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3644490242004395,0.3829180896282196,5.944335460662842,0.6251246929168701,8.767080307006836,1.8195579051971436,6.016555309295654
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.05233146995306015,0.4501858055591583,0.0,0.0,0.0,0.0,0.0,0.052497416734695435,0.4504055082798004,0.06377758830785751,0.00013776995183434337,0.032921548932790756,0.12146633118391037,0.00038560404209420085,0.01654927060008049,6.897724961163476e-05,0.014478261582553387,-0.0005732506397180259,0.25112783908843994,0.2278488576412201,-0.00018452882068231702,0.00032581237610429525,0.05340666323900223,0.051818326115608215,0.18469667434692383,0.18775218725204468,0.0007253280491568148,0.014435282908380032,0.00016328324272762984,-0.0005538253462873399,-0.0005359596107155085,0.00013638552627526224,0.5456736087799072,0.5384029150009155,0.09646973013877869,0.0949128046631813,-0.0004587888834066689,-0.00030425621662288904,0.5224920511245728,0.3134348392486572,0.31371939182281494,6.392263003363041e-06,0.06240604817867279,0.06746849417686462,-9.598649921827018e-05,-0.0004203052958473563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4365034103393555,0.42256224155426025,5.721742153167725,0.6548709869384766,8.985879898071289,2.0130019187927246,5.586052894592285
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.04828696325421333,0.4238075613975525,0.0,0.0,0.0,0.0,0.0,0.04844151809811592,0.4239453077316284,0.07092507928609848,8.182317105820403e-05,0.035138633102178574,0.12617118656635284,0.000317166734021157,0.014129094779491425,4.699982673628256e-05,0.013434583321213722,-0.0005760651547461748,0.2946777641773224,0.2728043794631958,-0.00011127947800559923,0.00019500937196426094,0.05341571941971779,0.05216345936059952,0.17866556346416473,0.18145307898521423,0.0006338334060274065,0.013297650031745434,2.8651840693783015e-05,-0.0003305952122900635,-0.0006313741323538125,0.00010713871597545221,0.5928671360015869,0.5882195830345154,0.14341679215431213,0.141701340675354,-0.0006289851735346019,-0.00038700774894095957,0.49823272228240967,0.3094232380390167,0.30969029664993286,1.3940520148025826e-05,0.07950995862483978,0.0854199230670929,-0.00013796008715871722,0.0015591280534863472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5019786357879639,0.4436434507369995,5.55449104309082,0.6807044744491577,9.219648361206055,2.1019115447998047,5.335588455200195
