Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:00.000,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00:00:00:01.016,68,0.0,0.0,0.0,0.0,0.0,0.006756319664418697,0.13985945284366608,0.0,0.0,0.0,0.0,0.0,0.006747201085090637,0.13988564908504486,0.011015534400939941,9.689183934824541e-05,0.007365824189037085,0.029416825622320175,3.8706006307620555e-05,0.017474684864282608,7.562286918982863e-05,0.003797810524702072,-0.00018043219461105764,0.009940349496901035,0.005291747860610485,-0.00016675872029736638,0.00021660984202753752,0.009351765736937523,0.008521424606442451,0.04014855995774269,0.04143425077199936,0.00020632690575439483,0.0024264208041131496,-2.4774035409791395e-05,-2.6328145395382307e-05,-0.00011528711911523715,-2.193460750277154e-05,0.08007687330245972,0.07817470282316208,0.009080776944756508,0.009050603024661541,-8.222854376072064e-05,-5.793467425974086e-05,0.11277876049280167,0.062420666217803955,0.062488507479429245,6.162635690998286e-05,0.005460619926452637,0.005772474221885204,-7.136775820981711e-05,-0.0003593481960706413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28982022404670715,0.08622021973133087,1.4619286060333252,0.09042474627494812,1.0475051403045654,0.28713732957839966,1.697463035583496
00:00:00:02.033,68,0.0,0.0,0.0,0.0,0.0,0.012834271416068077,0.275630384683609,0.0,0.0,0.0,0.0,0.0,0.012813998386263847,0.2756870687007904,0.01926003396511078,0.00020538161334116012,0.013898680917918682,0.05057433992624283,-5.093598156236112e-05,0.034335434436798096,0.00018713489407673478,0.0077483817003667355,-0.00037464179331436753,0.017572008073329926,0.00836696196347475,-0.0002874889469239861,0.0005460413522087038,0.017635159194469452,0.01595131866633892,0.07425098121166229,0.07599718868732452,0.0004418826138135046,0.004742027726024389,-3.630141873145476e-05,-5.0529120926512405e-05,-0.00023509484890382737,-5.184025940252468e-05,0.13551878929138184,0.13162824511528015,0.014389927498996258,0.014168535359203815,-0.00021813034254591912,-0.00016558749484829605,0.21757809817790985,0.12063401937484741,0.12077371031045914,0.00013960737851448357,0.010620901361107826,0.011053970083594322,-0.00016794315888546407,-0.0007232798961922526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5780671238899231,0.1828424036502838,2.9888103008270264,0.18457373976707458,2.2141518592834473,0.6000686883926392,3.175180196762085
00:00:00:03.050,68,0.0,0.0,0.0,0.0,0.0,0.018068810924887657,0.4052262306213379,0.0,0.0,0.0,0.0,0.0,0.01803971454501152,0.4053201675415039,0.023124342784285545,0.00033322800300084054,0.017932400107383728,0.054612286388874054,-4.852876008953899e-05,0.03806972876191139,0.0003808395704254508,0.011513236910104752,-0.0005394464242272079,0.02118670381605625,0.008263973519206047,-0.0004190833424217999,0.000848617812152952,0.023258130997419357,0.020660756155848503,0.09116943925619125,0.09221430867910385,0.0011694047134369612,0.0068322038277983665,7.657103196834214e-06,6.625771493418142e-05,-0.0004505226097535342,-0.0001372838014503941,0.13871945440769196,0.1330924928188324,0.009553938172757626,0.008873676881194115,-0.0003791728231590241,-0.00029984890716150403,0.3088913857936859,0.17170614004135132,0.17191468179225922,0.0001976637140614912,0.01525532640516758,0.01614825800061226,-0.0002836381027009338,-0.0009641196229495108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8487457633018494,0.2868129014968872,4.292657852172852,0.27433261275291443,3.494070291519165,1.01941978931427,4.692769527435303
00:00:00:04.066,68,0.0,0.0,0.0,0.0,0.0,0.023080656304955482,0.5283695459365845,0.0,0.0,0.0,0.0,0.0,0.023067327216267586,0.5285358428955078,0.02371850796043873,0.00053258310072124,0.017828211188316345,0.04794641211628914,0.004699044395238161,0.022464696317911148,0.0012044947361573577,0.015151405707001686,-0.0006330411415547132,0.01619134098291397,0.002884575165808201,-0.0006620549829676747,0.0013903887011110783,0.02582155540585518,0.022358935326337814,0.0886286050081253,0.08666746318340302,0.005271133501082659,0.009013551287353039,5.622306343866512e-05,8.512711792718619e-05,-0.0005661410395987332,-6.65176848997362e-05,0.10360435396432877,0.09607402980327606,0.0010854338761419058,-5.320140553521924e-05,-0.00047319981968030334,-0.00038593733916059136,0.3835734724998474,0.21516099572181702,0.21542546153068542,0.00023839987989049405,0.019835975021123886,0.021691936999559402,-0.00035505348932929337,-0.000968659296631813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1092584133148193,0.3830580711364746,5.560197353363037,0.36165788769721985,4.6644134521484375,1.474867582321167,6.332343578338623
00:00:00:04.083,68,0.0,0.0,0.0,0.0,0.0,0.028527982532978058,0.6487675309181213,0.0,0.0,0.0,0.0,0.0,0.028590448200702667,0.6491513848304749,0.02387405000627041,0.0008086997549980879,0.014346117153763771,0.043321818113327026,0.023317569866776466,0.0026342335622757673,0.012276277877390385,0.018124215304851532,-0.0006400301936082542,0.006938819773495197,-0.0008151003858074546,-0.0006185621023178101,0.0028931607957929373,0.02709992602467537,0.023065024986863136,0.07764317840337753,0.06969651579856873,0.01721031777560711,0.012888086028397083,0.0001888116094050929,0.00014483154518529773,-0.0005568898050114512,0.0003788682515732944,0.07266508787870407,0.0637417733669281,-0.00030395633075386286,-0.00076772749889642,-0.0004338729486335069,-0.00045785977272316813,0.4448877274990082,0.25145718455314636,0.2517707645893097,0.0005161220324225724,0.02375880442559719,0.02790081687271595,-0.0004463416989892721,-0.0008661680039949715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4063923358917236,0.5024601221084595,6.657695293426514,0.4647400379180908,5.99084997177124,1.9600403308868408,7.818225383758545
00:00:00:06.100,68,0.0,0.0,0.0,0.0,0.0,0.028730589896440506,0.6380715370178223,0.0,0.0,0.0,0.0,0.0,0.02883802354335785,0.6385819315910339,0.02040032297372818,0.0009170983103103936,0.008458283729851246,0.038155704736709595,0.037081580609083176,-0.0003639147034846246,0.040571216493844986,0.018052030354738235,-0.0006998828030191362,0.002432906534522772,-0.0007339409203268588,0.0027219022158533335,0.0069613647647202015,0.0238144900649786,0.020032934844493866,0.0513714998960495,0.03923484683036804,0.02575284242630005,0.0144541896879673,0.0002790861180983484,-2.450808824505657e-05,-0.0003669778525363654,0.0007709364872425795,0.047463558614254,0.03685641661286354,-0.00047846607048995793,3.521684629959054e-05,-0.0003450584481470287,-0.0005272741545923054,0.40636155009269714,0.23165422677993774,0.23195955157279968,0.000767894962336868,0.023085499182343483,0.027956103906035423,-0.0003740487154573202,-0.0006867320626042783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3572758436203003,0.5367918014526367,6.300164222717285,0.49263954162597656,6.260758876800537,1.9847424030303955,7.852834224700928
00:00:00:07.116,68,0.0,0.0,0.0,0.0,0.0,0.029241785407066345,0.6289681792259216,0.0,0.0,0.0,0.0,0.0,0.02937723882496357,0.6295682787895203,0.018204018473625183,0.0009734273771755397,0.0042486353777348995,0.04102322459220886,0.04853679984807968,-0.0006455954862758517,0.08379991352558136,0.018403727561235428,-0.000716988171916455,0.0016622970579192042,-1.0881722118938342e-05,0.015709802508354187,0.019985247403383255,0.02110396884381771,0.01743951626121998,0.03134886920452118,0.016530655324459076,0.03040478006005287,0.016631683334708214,0.00038041520747356117,-0.00010422691411804408,-0.00019636948127299547,0.0011252835392951965,0.04016859829425812,0.02851933054625988,-0.000583171786274761,-2.828624019457493e-05,-0.00037306189187802374,-0.0006657977355644107,0.38313087821006775,0.21446631848812103,0.21476690471172333,0.0011518721003085375,0.022333774715662003,0.027844581753015518,-0.0003254219191148877,-0.0007289262139238417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3348366022109985,0.5371426343917847,5.9530205726623535,0.5169533491134644,6.457167148590088,1.896251916885376,8.053515434265137
00:00:00:08.133,68,0.0,0.0,0.0,0.0,0.0,0.030274035409092903,0.622868537902832,0.0,0.0,0.0,0.0,0.0,0.030396539717912674,0.6235004663467407,0.017404459416866302,0.0009255427285097539,0.0025084286462515593,0.055729880928993225,0.062351349741220474,0.00035030272556468844,0.13962437212467194,0.018297767266631126,-0.0005948704201728106,0.0008936022059060633,-0.000258570013102144,0.033000312745571136,0.03701776638627052,0.018588757142424583,0.015132015570998192,0.01652149111032486,0.0017384585225954652,0.029928529635071754,0.019376331940293312,0.0003854231908917427,-5.564495950238779e-05,-7.172722689574584e-05,0.001250324654392898,0.04142088070511818,0.030596258118748665,-0.000531453697476536,0.00016094181046355516,-0.0003643977688625455,-0.0007307739579118788,0.3596576452255249,0.19294856488704681,0.19323687255382538,0.0016042414354160428,0.022611360996961594,0.028552429750561714,-0.0001781759347068146,-0.0006691273883916438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2993180751800537,0.5351234078407288,5.826233386993408,0.519058346748352,6.6189470291137695,1.731261968612671,8.206079483032227
00:00:00:09.150,68,0.0,0.0,0.0,0.0,0.0,0.032211579382419586,0.6204018592834473,0.0,0.0,0.0,0.0,0.0,0.032345276325941086,0.6209510564804077,0.016712184995412827,0.0007040251512080431,0.002381595317274332,0.07713846117258072,0.07950048893690109,0.004700572695583105,0.21826180815696716,0.016784068197011948,-0.00037967023672536016,0.0005550585337914526,-0.0001478579652030021,0.06128274276852608,0.06560372561216354,0.015082694590091705,0.012181741185486317,0.006484070792794228,-0.0023668771609663963,0.024490566924214363,0.020112967118620872,0.00012709129077848047,7.356777496170253e-05,1.1402629752410576e-05,0.001349132158793509,0.04789479821920395,0.03847404941916466,-0.0005884238053113222,-0.00016764190513640642,-0.0006122553604654968,-0.000849506410304457,0.34886279702186584,0.17641045153141022,0.1766919493675232,0.0020198540296405554,0.023841826245188713,0.03038623556494713,-0.00015703686221968383,-0.0005932195344939828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2430660724639893,0.5231447219848633,5.197870254516602,0.5428005456924438,6.363797664642334,1.5931220054626465,9.339624404907227
